
genres,href,id,name,popularity,type,followers.total
[],https://api.spotify.com/v1/artists/1FF4AZLtvo7yvuD8lHxRCh,1FF4AZLtvo7yvuD8lHxRCh,Atlantis Aquarius,30,artist,2376
"['austrian metal', 'gothic metal', 'gothic symphonic metal', 'melodic metal', 'neo classical metal', 'power metal', 'slayer', 'symphonic metal', 'symphonic power metal']",https://api.spotify.com/v1/artists/5kanN1nKzrkW1m2gZmo82x,5kanN1nKzrkW1m2gZmo82x,Visions of Atlantis,46,artist,81179
"['progressive technical death metal', 'technical death metal', 'technical melodic death metal']",https://api.spotify.com/v1/artists/2yQwuvF6qxv98dqMrZ8iTm,2yQwuvF6qxv98dqMrZ8iTm,Atlantis Chronicles,33,artist,8606
"['metalcore', 'post-screamo']",https://api.spotify.com/v1/artists/6YLWRVTViX4bm2mGxRy9XN,6YLWRVTViX4bm2mGxRy9XN,Breathe Atlantis,42,artist,10978
"['pixie', 'post-screamo']",https://api.spotify.com/v1/artists/31nW0jj6CxQyf5GhDsEeL9,31nW0jj6CxQyf5GhDsEeL9,Atlantis Awaits,31,artist,3331
"['british alternative rock', 'modern alternative rock', 'modern rock']",https://api.spotify.com/v1/artists/1kF0gYnHLUJvFuPdoowO02,1kF0gYnHLUJvFuPdoowO02,Lower Than Atlantis,47,artist,111096
[],https://api.spotify.com/v1/artists/4aXRSxPqimU0f2bGjDaMGV,4aXRSxPqimU0f2bGjDaMGV,Atlantis,4,artist,62
['chill beats'],https://api.spotify.com/v1/artists/4lWGfxuk3gXKG0v4fI4mqi,4lWGfxuk3gXKG0v4fI4mqi,Atlantis Dove,27,artist,315
['background music'],https://api.spotify.com/v1/artists/35AOZRP5Z6yMNvFlfR6ixh,35AOZRP5Z6yMNvFlfR6ixh,Search For Atlantis,36,artist,239
[],https://api.spotify.com/v1/artists/064LBIfOCb4BdLqrhdrLVN,064LBIfOCb4BdLqrhdrLVN,Atlantis,26,artist,586
['alte'],https://api.spotify.com/v1/artists/6wukMcC4TS5AUV1cc8lmmd,6wukMcC4TS5AUV1cc8lmmd,Gigi Atlantis,35,artist,652
[],https://api.spotify.com/v1/artists/7I7M4l39LfcYUNJ1zVUy35,7I7M4l39LfcYUNJ1zVUy35,Atlantis,20,artist,148
[],https://api.spotify.com/v1/artists/63n25JUKzDWgbdaDtps52J,63n25JUKzDWgbdaDtps52J,atlantis,33,artist,1982
[],https://api.spotify.com/v1/artists/5UP9BbwhM34gaVceSgcYqy,5UP9BbwhM34gaVceSgcYqy,Atlantis,12,artist,56
[],https://api.spotify.com/v1/artists/6nt4NyGM33cL2H8wsyeZ3D,6nt4NyGM33cL2H8wsyeZ3D,Atlantis,2,artist,124
[],https://api.spotify.com/v1/artists/2AUwVZt8BtfbqJ5BKLET22,2AUwVZt8BtfbqJ5BKLET22,Atlantis,3,artist,97
[],https://api.spotify.com/v1/artists/1iWByNThmF1tNXJEaU6M5v,1iWByNThmF1tNXJEaU6M5v,Atlantis,7,artist,29
['post-punk mexicano'],https://api.spotify.com/v1/artists/7susg4vvPHOFNbixHutAPg,7susg4vvPHOFNbixHutAPg,Atlantis Waterfalls,15,artist,804
['chill r&b'],https://api.spotify.com/v1/artists/1OIwR0QnsHzPZrC1pTN1UO,1OIwR0QnsHzPZrC1pTN1UO,Dylan Atlantis,18,artist,465
[],https://api.spotify.com/v1/artists/6a4Pb22wR6YrGVBc4PteEW,6a4Pb22wR6YrGVBc4PteEW,Atlantis,1,artist,63
['post-post-hardcore'],https://api.spotify.com/v1/artists/6jWjG1qqPEzvA7w1wxymf3,6jWjG1qqPEzvA7w1wxymf3,From Atlantis,13,artist,6516
