
genres,href,id,name,popularity,type,followers.total
"['austrian metal', 'gothic metal', 'gothic symphonic metal', 'melodic metal', 'neo classical metal', 'power metal', 'slayer', 'symphonic metal', 'symphonic power metal']",https://api.spotify.com/v1/artists/5kanN1nKzrkW1m2gZmo82x,5kanN1nKzrkW1m2gZmo82x,Visions of Atlantis,46,artist,81179
"['progressive technical death metal', 'technical death metal', 'technical melodic death metal']",https://api.spotify.com/v1/artists/2yQwuvF6qxv98dqMrZ8iTm,2yQwuvF6qxv98dqMrZ8iTm,Atlantis Chronicles,33,artist,8606
"['metalcore', 'post-screamo']",https://api.spotify.com/v1/artists/6YLWRVTViX4bm2mGxRy9XN,6YLWRVTViX4bm2mGxRy9XN,Breathe Atlantis,42,artist,10978
"['pixie', 'post-screamo']",https://api.spotify.com/v1/artists/31nW0jj6CxQyf5GhDsEeL9,31nW0jj6CxQyf5GhDsEeL9,Atlantis Awaits,31,artist,3331
"['british alternative rock', 'modern alternative rock', 'modern rock']",https://api.spotify.com/v1/artists/1kF0gYnHLUJvFuPdoowO02,1kF0gYnHLUJvFuPdoowO02,Lower Than Atlantis,47,artist,111096
['chill beats'],https://api.spotify.com/v1/artists/4lWGfxuk3gXKG0v4fI4mqi,4lWGfxuk3gXKG0v4fI4mqi,Atlantis Dove,27,artist,315
['background music'],https://api.spotify.com/v1/artists/35AOZRP5Z6yMNvFlfR6ixh,35AOZRP5Z6yMNvFlfR6ixh,Search For Atlantis,36,artist,239
['alte'],https://api.spotify.com/v1/artists/6wukMcC4TS5AUV1cc8lmmd,6wukMcC4TS5AUV1cc8lmmd,Gigi Atlantis,35,artist,652
['post-punk mexicano'],https://api.spotify.com/v1/artists/7susg4vvPHOFNbixHutAPg,7susg4vvPHOFNbixHutAPg,Atlantis Waterfalls,15,artist,804
['chill r&b'],https://api.spotify.com/v1/artists/1OIwR0QnsHzPZrC1pTN1UO,1OIwR0QnsHzPZrC1pTN1UO,Dylan Atlantis,18,artist,465
['post-post-hardcore'],https://api.spotify.com/v1/artists/6jWjG1qqPEzvA7w1wxymf3,6jWjG1qqPEzvA7w1wxymf3,From Atlantis,13,artist,6516
['metal catarinense'],https://api.spotify.com/v1/artists/3jnCtBVFy2caXHrSZ8PYD5,3jnCtBVFy2caXHrSZ8PYD5,Atlantis,0,artist,41
['progressive trance house'],https://api.spotify.com/v1/artists/37AEfVBPHLDfdUyvp64HMG,37AEfVBPHLDfdUyvp64HMG,Atlantis Ocean,24,artist,628
['japanese math rock'],https://api.spotify.com/v1/artists/6MnJHWBsRrp2z0uEud2nbq,6MnJHWBsRrp2z0uEud2nbq,ATLANTIS AIRPORT,6,artist,670
['dissonant death metal'],https://api.spotify.com/v1/artists/5YksM5fILg5LIjctxBfSrX,5YksM5fILg5LIjctxBfSrX,Vertebra Atlantis,10,artist,798
['new mexico music'],https://api.spotify.com/v1/artists/6KYFel0WiwDfVjuo5pUMYu,6KYFel0WiwDfVjuo5pUMYu,Atlantis Cds,1,artist,94
"['bubblegum dance', 'candy pop', 'dance pop', 'europop', 'girl group']",https://api.spotify.com/v1/artists/6JMHws5haIO6V35YNYDnDw,6JMHws5haIO6V35YNYDnDw,Atomic Kitten,63,artist,364092
"['dembow', 'dominican pop', 'rap dominicano', 'trap latino', 'urbano espanol']",https://api.spotify.com/v1/artists/05i5DIXDf4Ai4NEPEi3uBZ,05i5DIXDf4Ai4NEPEi3uBZ,Atomic Otro Way,63,artist,105826
['minneapolis indie'],https://api.spotify.com/v1/artists/0FnrtDOnCbJSgbBgQTjfgQ,0FnrtDOnCbJSgbBgQTjfgQ,Atomic Cafe,32,artist,2095
['stomp pop'],https://api.spotify.com/v1/artists/3HNbNrsIGbM7G63I7UNvze,3HNbNrsIGbM7G63I7UNvze,Atomic Tom,30,artist,6238
"['art rock', 'blues rock', 'british blues', 'german rock', 'hard rock', 'progressive rock', 'proto-metal', 'psychedelic blues-rock', 'psychedelic rock', 'symphonic rock']",https://api.spotify.com/v1/artists/6Ix7Hx8Af0jg9X4OfD9sYR,6Ix7Hx8Af0jg9X4OfD9sYR,Atomic Rooster,33,artist,54989
"['aesthetic rap', 'meme rap', 'sad lo-fi']",https://api.spotify.com/v1/artists/75RLThQWzIgIM7Jtp6KZic,75RLThQWzIgIM7Jtp6KZic,$atori Zoom,66,artist,68602
"['detroit rock', 'swing', 'swing revival']",https://api.spotify.com/v1/artists/3gv1hh37jyGKfyAjFvv7No,3gv1hh37jyGKfyAjFvv7No,The Atomic Fireballs,35,artist,13182
"['modern blues rock', 'psychedelic doom', 'retro metal', 'space rock', 'stoner metal', 'stoner rock']",https://api.spotify.com/v1/artists/4TnftWQx6fF7k4Nviu7Nn6,4TnftWQx6fF7k4Nviu7Nn6,The Atomic Bitchwax,37,artist,46841
"['instrumental surf', 'surf music']",https://api.spotify.com/v1/artists/6Zjd2ECuBg8bVcwQ0NJ21W,6Zjd2ECuBg8bVcwQ0NJ21W,Atomic Mosquitos,19,artist,3469
