Name,Country,Status,Formed In,Genre,Theme,Active,Spotify Popularity,Total Followers On Spotify
('M') Inc.,United States,Unknown,2009,Death Metal,Unknown,2009-?,0,0
(sic),United States,Split-up,1993,Death Metal,Unknown,1993-1996,0,0
.F.O.A.D.,France,Active,2009,Death Metal,Life and Death,2009-present,0,0
100 Suns,United States,Active,2004,Death Metal,Unknown,2004-present,0,0
12 Days of Anarchy,United States,Split-up,1998,Death Metal,Anarchy,1998-2002,0,0
13th Cadaver,United States,Changed name,2006,Death Metal,Death| Gore| Undead,2006-?| ?-2007 (as Splatter the Cadaver)| 2008 (as Splatter the Cadaver),0,0
1917,Argentina,Active,1994,Death Metal,Dark Philosophical Poetry| Art| Religion| Psychology,1994-present,0,0
5th Column,United States,Active,2003,Death Metal,War| Death| Battles| Rape,2003-present,0,0
6 Feet Under,Germany,Split-up,n,Death Metal,Unknown,,0,0
602,Russia,Active,2012,Death Metal,Cruelty of regimes| WWII| Death,2012-present,0,0
7th Delirium,Spain,Split-up,1998,Death Metal,Unknown,1998-?,0,0
7th Gate,Austria,Split-up,n,Death Metal,Unknown,,0,0
9,Argentina,Active,2008,Death Metal,War| Religion| Bloodshed,2008-present,0,0
9th Plague,Sweden,Split-up,2000,Death Metal,Anti-Christianity,2000-2008,0,0
A Dark Place,Australia,Unknown,2009,Death Metal,Unknown,2009-?,0,0
A Dying Season,Mexico,Active,2010,Death Metal,Unknown,2010-present,0,0
A Greed Science,Australia,Active,2009,Death Metal,Humanity| Life Experience,2009-present,0,0
A Life Less Alive,United States,Active,1997,Death Metal,Death| Zombies| Religion| Horror,1997-present,0,0
A Place for Murder,Italy,Active,2009,Death Metal,Death| Life| Nature| Technology| Human Madness,2009-2012| 2013-present,0,0
A Tomba Oberta,Spain,Active,2013,Death Metal,Unknown,2013-present,0,0
A-Rise,Germany,Changed name,1999,Death Metal,Death| Destruction,1999-2013| 2013-present (as Sic Zone),0,0
A.R.M.A.,Italy,Unknown,2008,Death Metal,Unknown,2002-2008 (as Void Essence)| 2008-?,0,0
AAAAARGH! Bloody 2-Handed Chainaxe Blow,France,Unknown,1999,Death Metal,Esoteric,1999-?,0,0
Ab-Irato,Argentina,Active,n,Death Metal,Hate| Anti-religion,,0,0
Abaddon,Australia,Split-up,2006,Death Metal,Unknown,2006-2008,0,0
Abaddon,Brazil,Split-up,2003,Death Metal,Satanism| Anti-Christianity,2003-2004| 2004 (as Ritus Tenebrum),0,0
Abaddon,Bulgaria,Active,1999,Death Metal,Unknown,1999-present,0,0
Abaddon,Chile,Active,1989,Death Metal,Paganism,1989 (as Tormentor)| 1989-present,0,0
Abaddon,Czech Republic,Split-up,1989,Death Metal,Unknown,1989-1994,0,0
Abaddon,Czech Republic,Active,2007,Death Metal,Evil| Armageddon| Fears,2007-present,0,0
Abaddon,Poland,Changed name,1992,Death Metal,Death,1992-1994| 1994-present (as Sepsis),0,0
Abaddon,United States,Split-up,n,Death Metal,Unknown,,0,0
Abadon,Colombia,Split-up,n,Death Metal,Personal Feelings| Solitude| Death| Senseless,,0,0
Abandoned,Germany,Split-up,1994,Death Metal,War| Society,1994-?,0,0
Abantesma,Brazil,Split-up,2000,Death Metal,Horror| Gore,2000-?,0,0
Abattoir,Denmark,Split-up,1991,Death Metal,Unknown,1991-?,0,0
Abattoir,Singapore,Changed name,1997,Death Metal,Death| Gore| Blasphemy,1997-1999| 1999-present (as Abattory),0,0
Abattoir,Slovenia,Unknown,1999,Death Metal,Unknown,1999-?,0,0
Abattoir Pigs,United Kingdom,Split-up,2004,Death Metal,Unknown,2004-?,0,0
Abbatoir,Brazil,Changed name,2003,Death Metal,Genetic| Sickness| Violence| Death,2003-2007| 2007-2010 (as S.O:M.A),0,0
Abbattoir,United Kingdom,Changed name,1997,Death Metal,Unknown,1997-?| ?-? (as Devoured),0,0
Abbysmal,Bolivia,Active,2012,Death Metal,Death,2012-present,0,0
Abdicated,Brazil,Active,2009,Death Metal,Evil| Anti-Christianity| Satanism,2009-present,0,0
Abdominal,Colombia,Split-up,1995,Death Metal,Pathologic and Clinic themes,1995-2003,0,0
Abducción,Colombia,Active,2011,Death Metal,Existentialism| Anti-religion| Evil,2011-present,0,0
Abducted,Hungary,Split-up,n,Death Metal,Unknown,,0,0
Abemal,Sweden,Split-up,1989,Death Metal,Unknown,1989-1994,0,0
Aberrante,Panama,Active,2012,Death Metal,Death| Darkness| Annihilation| Disease,2012-present,0,0
Aberration,Poland,Changed name,1992,Death Metal,Gore| Violence| Blasphemy,1992-?| ?-present (as Hope Industry),1,270
Abgabba,United States,Active,2007,Death Metal,Unknown,2007-present,0,0
Abhira,Indonesia,Active,2013,Death Metal,Mahabharata legend| Goals of life,2009-2013 (as Gemeinschaft by Blood)| 2013-present,0,0
Abhor,Brazil,Split-up,1991,Death Metal,Chaotic Metaphoric Themes,1991-1993,0,0
Abhordium,Finland,Active,2005,Death Metal,Death| Society| Misanthropy| Occultism,2005-present,1,286
Abhorrance,United States,Split-up,1990,Death Metal,Gore| Homicidal Urges| Religion,1990-?,0,0
Abhorred,United Arab Emirates,Unknown,1999,Death Metal,Hate| Anti Society| Nature| Complex Thought,1999-?,0,0
Abhorrence,Finland,Unknown,1989,Death Metal,Death| Decay| Pain| Perversion,1989-1990| 2012-?,11,1803
Abhorrence,Germany,Split-up,n,Death Metal,Unknown,,11,1803
Abhorrence,South Africa,Split-up,1992,Death Metal,Christianity,1992-1994,11,1803
Abhorrence,United States,Split-up,1989,Death Metal,Unknown,1989-?,11,1803
Abhorrent Aggression,United States,Split-up,2012,Death Metal,Unknown,2012-2015,0,0
Abhorrent Decimation,United Kingdom,Active,2013,Death Metal,Anti-religion,2013-present,5,3486
